"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Cycling",,"",0,"normal",,,1.65,300,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Hack Squat (Machine)",,"",0,"normal",57,12,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Hack Squat (Machine)",,"",1,"normal",57,12,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Hack Squat (Machine)",,"",2,"normal",77,10,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Hack Squat (Machine)",,"",3,"normal",77,8,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Single Leg Press (Machine)",,"",0,"normal",52,12,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Single Leg Press (Machine)",,"",1,"normal",63,12,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Single Leg Press (Machine)",,"",2,"normal",75,12,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Leg Extension (Machine)",,"",0,"normal",43,12,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Leg Extension (Machine)",,"",1,"normal",50,12,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Leg Extension (Machine)",,"",2,"normal",57,10,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Seated Calf Raise",,"",0,"normal",41,16,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Seated Calf Raise",,"",1,"normal",41,15,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Seated Calf Raise",,"",2,"normal",41,18,,,
"LOWER GPT","16 Mar 2026, 15:56","16 Mar 2026, 17:16","Ha faltado culo pero de ahí bn.","Seated Calf Raise",,"",3,"normal",41,17,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Cycling",,"",0,"normal",,,1.6,300,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Bench Press (Barbell)",,"",0,"normal",60,10,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Bench Press (Barbell)",,"",1,"normal",70,10,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Bench Press (Barbell)",,"",2,"normal",80,5,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Bench Press (Barbell)",,"",3,"normal",90,1,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Seated Cable Row - V Grip (Cable)",,"",0,"normal",45,12,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Seated Cable Row - V Grip (Cable)",,"",1,"normal",54,12,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Seated Cable Row - V Grip (Cable)",,"",2,"normal",64,10,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Pull Up (Assisted)",,"",0,"normal",55,10,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Pull Up (Assisted)",,"",1,"normal",48,8,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Pull Up (Assisted)",,"",2,"normal",41,6,,,
"Upper GPT","13 Mar 2026, 16:10","13 Mar 2026, 17:41","M duele el fking hombro joder, muy petado","Shoulder Press (Dumbbell)",,"",0,"normal",22.5,9,,,
